"VERSION_R26","CASEID","SAMPLE_ID","SAMPLE_RACE","SAMPLE_SEX","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS","POVSTATUS"
458,140,5,3,2,0,0,-3,0,-3,-3,0,0,0,-3,0,-3,0,-3,0,-3,-3,-3,-3,0,0,0,-3,0,0,0
458,141,5,3,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,-3,-3,0,0,0,0,0,0,-5,0,0,0
-5,142,1,3,1,0,0,0,-3,-3,0,0,-5,-5,0,0,0,0,0,0,0,-5,0,0,-5,-5,-5,-5,0,-3,-5
-5,143,5,3,2,0,0,0,0,0,0,0,0,-5,-5,-5,-5,0,0,0,0,0,0,-5,-5,0,0,0,0,-5,-5
458,144,5,3,2,0,0,0,-3,-3,0,0,0,-3,-3,-3,0,0,0,-3,0,-3,0,0,0,0,0,-5,0,0,0
-5,145,1,3,1,0,0,0,0,1,0,0,0,-3,0,-3,-3,-3,-3,0,-3,1,0,0,0,0,1,0,0,-3,-5
458,146,1,3,1,0,0,0,0,0,0,-3,0,-5,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0
458,147,5,3,2,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,148,1,3,1,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,-3,-3,-3,-3,-3,0,-3,-3,-3
458,149,5,3,2,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,150,1,3,1,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-5
-5,151,5,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,-3,-3,-3,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,152,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,153,5,3,2,0,-5,-5,-5,-5,-5,0,0,0,-3,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0
-5,154,5,3,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,155,1,3,1,0,0,0,0,0,-3,0,0,-3,0,0,0,0,0,-3,-3,0,0,0,0,0,-5,-5,0,0,-5
458,156,1,3,1,1,-5,-3,-3,-3,-3,-3,-3,-5,-5,-5,-3,-3,-3,0,0,-5,-5,-3,1,0,0,-3,1,1,-3
